sample_id	aro_gene	hit_rows
E_1-2	GOB-42	53
E_1-2	MCR-1.29	62
E_1-2	nimJ	386
E_1-2	OKP-A-6	62
E_1-2	GOB-43	94
E_1-2	IreK	15521
E_1-2	nimK	394
E_1-2	OKP-A-7	82
E_1-2	GOB-44	71
E_1-2	ErmN	74
E_1-2	OKP-A-8	72
E_1-2	KPC-149	4
E_1-2	GOB-45	87
E_1-2	OKP-A-9	83
E_1-2	GOB-46	67
E_1-2	Paer_emrE	744
E_1-2	cdeA	148
E_1-2	GOB-47	62
E_1-2	ErmQ	707
E_1-2	BIL-1	5
E_1-2	MUN-1	51
E_1-2	GOB-48	38
E_1-2	ErmR	426
E_1-2	ErmS	116
E_1-2	GOB-49	24
E_1-2	ErmT	125
E_1-2	vanR_in_vanD_cl	14268
E_1-2	vanR_in_vanL_cl	17117
E_1-2	ErmU	32
E_1-2	vanH_in_vanF_cl	4410
E_1-2	vanH_in_vanB_cl	2931
E_1-2	CRP-1	38
E_1-2	ADC-180	8
E_1-2	ErmV	82
E_1-2	ADC-140	3
E_1-2	MUN-6	49
E_1-2	ErmW	71
E_1-2	OXY-6-1	5
E_1-2	ADC-141	1
E_1-2	ErmX	211
E_1-2	ADC-101	2
E_1-2	OXY-6-2	17
E_1-2	ErmY	103
E_1-2	OXY-6-3	8
E_1-2	OXY-2-30	21
E_1-2	ADC-102	4
E_1-2	ADC-184	15
E_1-2	ADC-185	2
E_1-2	OXY-6-4	4
E_1-2	ADC-103	5
E_1-2	ADC-186	1
E_1-2	OXY-6-5	14
E_1-2	ADC-104	13
E_1-2	ADC-187	1
E_1-2	ADC-105	13
E_1-2	OXY-6-7	7
E_1-2	gimA	34
E_1-2	ZOG-1	42
E_1-2	ADC-188	15
E_1-2	ADC-106	19
E_1-2	Cstr_tetA	11616
E_1-2	ADC-189	2
E_1-2	BcI	44
E_1-2	ADC-107	11
E_1-2	ADC-148	24
E_1-2	QnrC	33
E_1-2	ADC-149	5
E_1-2	ADC-109	11
E_1-2	catP	202
E_1-2	dfrA15b	588
E_1-2	catQ	305
E_1-2	Bado_rpoB_RIF	113328
E_1-2	catS	98
E_1-2	VHH-1	264
E_1-2	CARB-20	235
